_input,_num,_widgetName,_source,_resultNumber,_pageUrl,id,rank,workers,company,url,state_l,state_s,city,metro,growth,revenue,industry,yrs_on_list
,14,Inc5000 Company List,Inc5000 Company List,14,http://www.inc.com/inc5000list/json/inc5000_2014.json,26223,14,313,Dynamic Dental Partners Group,dynamic-dental-partners-group,Florida,FL,Palmetto,Sarasota-Bradenton-Venice FL,12895.5867,19802935,Health,1
,15,Inc5000 Company List,Inc5000 Company List,15,http://www.inc.com/inc5000list/json/inc5000_2014.json,25021,15,159,Aseptia,aseptia,North Carolina,NC,Raleigh,Raleigh-Cary NC,12427.4225,13887650,Food & Beverage,1
,16,Inc5000 Company List,Inc5000 Company List,16,http://www.inc.com/inc5000list/json/inc5000_2014.json,26535,16,34,Asentra Health,asentra-health,Hawaii,HI,Honolulu,Honolulu HI,12127.9133,20445071,Health,1
,17,Inc5000 Company List,Inc5000 Company List,17,http://www.inc.com/inc5000list/json/inc5000_2014.json,24632,17,436,American Solar Direct,american-solar-direct,California,CA,Los Angeles,Los Angeles,11560.3538,52086567,Energy,1
,18,Inc5000 Company List,Inc5000 Company List,18,http://www.inc.com/inc5000list/json/inc5000_2014.json,26246,18,42,Prescient Edge,prescient-edge,Virginia,VA,McLean,Washington DC,11497.7718,12315210,Government Services,1
,19,Inc5000 Company List,Inc5000 Company List,19,http://www.inc.com/inc5000list/json/inc5000_2014.json,22962,19,27,BlueSquare Resolutions,bluesquare-resolutions,Arizona,AZ,Scottsdale,Phoenix,11488.6004,46400872,Financial Services,2
,20,Inc5000 Company List,Inc5000 Company List,20,http://www.inc.com/inc5000list/json/inc5000_2014.json,25398,20,44,BES Design/Build,bes-designbuild,Alabama,AL,Fairhope,Daphne-Fairhope-Foley AL,11374.9136,11819161,Engineering,1
,21,Inc5000 Company List,Inc5000 Company List,21,http://www.inc.com/inc5000list/json/inc5000_2014.json,25290,21,12,Simpler Trading,simpler-trading,Texas,TX,Austin,Austin,10522.6415,11260000,Financial Services,1
,22,Inc5000 Company List,Inc5000 Company List,22,http://www.inc.com/inc5000list/json/inc5000_2014.json,24803,22,790,sweetFrog Premium Frozen Yogurt,sweetfrog-premium-frozen-yogurt,Virginia,VA,Richmond,Richmond VA,10371.7994,34382478,Food & Beverage,1
,23,Inc5000 Company List,Inc5000 Company List,23,http://www.inc.com/inc5000list/json/inc5000_2014.json,25925,23,17,Base Commerce,base-commerce,Arizona,AZ,Tempe,Phoenix,10186.259,12479598,Financial Services,1
,24,Inc5000 Company List,Inc5000 Company List,24,http://www.inc.com/inc5000list/json/inc5000_2014.json,25323,24,102,CPSG Partners,cpsg-partners,Texas,TX,Dallas,Dallas,9531.6371,17095000,IT Services,1
,25,Inc5000 Company List,Inc5000 Company List,25,http://www.inc.com/inc5000list/json/inc5000_2014.json,25679,25,102,MedHOK,medhok,Florida,FL,Tampa,Tampa,9109.1892,17037000,Health,1
,26,Inc5000 Company List,Inc5000 Company List,26,http://www.inc.com/inc5000list/json/inc5000_2014.json,25524,26,90,Showroom Logic,showroom-logic,Florida,FL,Miami,Miami,8448.5785,13443409,Advertising & Marketing,1
,27,Inc5000 Company List,Inc5000 Company List,27,http://www.inc.com/inc5000list/json/inc5000_2014.json,25360,27,27,WeVeel,weveel,Pennsylvania,PA,Morrisville,Dallas,8239.8148,9007000,Consumer Products & Services,1
,28,Inc5000 Company List,Inc5000 Company List,28,http://www.inc.com/inc5000list/json/inc5000_2014.json,25764,28,10,PackIt,packit,California,CA,Westlake Village,Los Angeles,7877.9544,11874148,Consumer Products & Services,1
,29,Inc5000 Company List,Inc5000 Company List,29,http://www.inc.com/inc5000list/json/inc5000_2014.json,25317,29,8,American Retirement Advisors,american-retirement-advisors,Arizona,AZ,Scottsdale,Phoenix,7758.1594,13876488,Financial Services,1
,30,Inc5000 Company List,Inc5000 Company List,30,http://www.inc.com/inc5000list/json/inc5000_2014.json,26342,30,200,HighPoint Global,highpoint-global,Indiana,IN,Indianapolis,Indianapolis IN,7638.5408,95810719,Business Products & Services,1
,31,Inc5000 Company List,Inc5000 Company List,31,http://www.inc.com/inc5000list/json/inc5000_2014.json,24949,31,33,AdKarma,adkarma,Missouri,MO,Columbia,Columbia MO,7635.2397,13326503,Advertising & Marketing,1
,32,Inc5000 Company List,Inc5000 Company List,32,http://www.inc.com/inc5000list/json/inc5000_2014.json,25188,32,176,Axtria,axtria,New Jersey,NJ,Berkeley Heights,New York City,7351.2959,8963909,IT Services,1
,33,Inc5000 Company List,Inc5000 Company List,33,http://www.inc.com/inc5000list/json/inc5000_2014.json,25240,33,24,Dolls Kill,dolls-kill,California,CA,San Francisco,San Francisco,7055.6604,7585000,Retail,1
,34,Inc5000 Company List,Inc5000 Company List,34,http://www.inc.com/inc5000list/json/inc5000_2014.json,25357,34,140,Centric Digital,centric-digital,New York,NY,New York,New York City,6898.4173,18045419,Business Products & Services,1
,35,Inc5000 Company List,Inc5000 Company List,35,http://www.inc.com/inc5000list/json/inc5000_2014.json,25522,35,55,Retail Capital,retail-capital,Michigan,MI,Troy,Detroit,6861.3577,7013359,Financial Services,1
,36,Inc5000 Company List,Inc5000 Company List,36,http://www.inc.com/inc5000list/json/inc5000_2014.json,22949,36,61,Restore Health,restore-health,Wisconsin,WI,Madison,Madison WI,6663.1769,6821205,Health,2
,37,Inc5000 Company List,Inc5000 Company List,37,http://www.inc.com/inc5000list/json/inc5000_2014.json,25527,37,53,OpenRoad Lending,openroad-lending,Texas,TX,North Richland Hills,Dallas,6603.3722,8853881,Financial Services,1
,38,Inc5000 Company List,Inc5000 Company List,38,http://www.inc.com/inc5000list/json/inc5000_2014.json,25755,38,25,Pontchartrain Partners,pontchartrain-partners,Louisiana,LA,New Orleans,New Orleans-Metairie-Kenner LA,6535.0538,10545091,Government Services,1
,39,Inc5000 Company List,Inc5000 Company List,39,http://www.inc.com/inc5000list/json/inc5000_2014.json,25634,39,1,Team Extreme Marketing International,team-extreme-marketing-international,Maryland,MD,Chevy Chase,Washington DC,6369.1921,6772856,Consumer Products & Services,1
,40,Inc5000 Company List,Inc5000 Company List,40,http://www.inc.com/inc5000list/json/inc5000_2014.json,25306,40,4,Choice Energy,choice-energy,Iowa,IA,Des Moines,Des Moines-West Des Moines IA,6020.9548,20894369,Energy,1
,41,Inc5000 Company List,Inc5000 Company List,41,http://www.inc.com/inc5000list/json/inc5000_2014.json,26117,41,24,ReviMedia,revimedia,New York,NY,New York,New York City,5817.1289,5963105,Advertising & Marketing,1
,42,Inc5000 Company List,Inc5000 Company List,42,http://www.inc.com/inc5000list/json/inc5000_2014.json,26490,42,96,SmartZip Analytics,smartzip-analytics,California,CA,Pleasanton,San Francisco,5811.3568,11396150,Software,1
,43,Inc5000 Company List,Inc5000 Company List,43,http://www.inc.com/inc5000list/json/inc5000_2014.json,25659,43,48,Thompson Gray,thompson-gray,Alabama,AL,Huntsville,Huntsville AL,5752.5251,14104761,Government Services,1
,44,Inc5000 Company List,Inc5000 Company List,44,http://www.inc.com/inc5000list/json/inc5000_2014.json,26179,44,147,MCSG Technologies,mcsg-technologies,Oklahoma,OK,Norman,Oklahoma City OK,5715.2859,7686703,IT Services,1
,45,Inc5000 Company List,Inc5000 Company List,45,http://www.inc.com/inc5000list/json/inc5000_2014.json,25965,45,20,Innovative Surveillance Solutions,innovative-surveillance-solutions,Texas,TX,Tyler,Tyler TX,5604.7826,10247444,Security,1
,46,Inc5000 Company List,Inc5000 Company List,46,http://www.inc.com/inc5000list/json/inc5000_2014.json,25677,46,379,Nordic,nordic,Wisconsin,WI,Madison,Madison WI,5593.0143,81410104,Health,1
,47,Inc5000 Company List,Inc5000 Company List,47,http://www.inc.com/inc5000list/json/inc5000_2014.json,25385,47,40,Michigan Realty Solutions,michigan-realty-solutions,Michigan,MI,Richmond,Detroit,5530.8057,6178120,Real Estate,1
,48,Inc5000 Company List,Inc5000 Company List,48,http://www.inc.com/inc5000list/json/inc5000_2014.json,25931,48,17,Ohio Investments,ohio-investments,Ohio,OH,Enon,Springfield OH,5507.4529,23809245,Real Estate,1
,49,Inc5000 Company List,Inc5000 Company List,49,http://www.inc.com/inc5000list/json/inc5000_2014.json,25654,49,30,Adore Me,adore-me,New York,NY,New York,New York City,5505.55,5637838,Retail,1
,50,Inc5000 Company List,Inc5000 Company List,50,http://www.inc.com/inc5000list/json/inc5000_2014.json,26146,50,35,IQ Formulations,iq-formulations,Florida,FL,Sunrise,Miami,5486.2116,8269660,Health,1
,51,Inc5000 Company List,Inc5000 Company List,51,http://www.inc.com/inc5000list/json/inc5000_2014.json,26092,51,32,MAX Digital,max-digital,Illinois,IL,Chicago,Chicago,5483.1298,6577541,Software,1
,52,Inc5000 Company List,Inc5000 Company List,52,http://www.inc.com/inc5000list/json/inc5000_2014.json,25699,52,50,MaxHome,maxhome,Louisiana,LA,New Orleans,New Orleans-Metairie-Kenner LA,5438.9673,5792929,Construction,1
,53,Inc5000 Company List,Inc5000 Company List,53,http://www.inc.com/inc5000list/json/inc5000_2014.json,17948,53,1106,Alex and Ani,alex-and-ani,Rhode Island,RI,Cranston,Providence-New Bedford-Fall River RI-MA,5220.9165,230109687,Retail,5
,54,Inc5000 Company List,Inc5000 Company List,54,http://www.inc.com/inc5000list/json/inc5000_2014.json,25453,54,46,Crowdtap,crowdtap,New York,NY,New York,New York City,5217.2043,6261593,Advertising & Marketing,1
,55,Inc5000 Company List,Inc5000 Company List,55,http://www.inc.com/inc5000list/json/inc5000_2014.json,25107,55,30,Compass Automation,compass-automation,Illinois,IL,Elgin,Chicago,5214.2331,5703235,Manufacturing,1
,56,Inc5000 Company List,Inc5000 Company List,56,http://www.inc.com/inc5000list/json/inc5000_2014.json,25445,56,35,Multifamily Utility,multifamily-utility,California,CA,San Diego,San Diego,5196.0656,5757194,Real Estate,1
,57,Inc5000 Company List,Inc5000 Company List,57,http://www.inc.com/inc5000list/json/inc5000_2014.json,21041,57,19,The Joint,the-joint,Arizona,AZ,Scottsdale,Phoenix,5139.4732,5958067,Health,3
,58,Inc5000 Company List,Inc5000 Company List,58,http://www.inc.com/inc5000list/json/inc5000_2014.json,26233,58,70,Bizness Apps,bizness-apps,California,CA,San Francisco,San Francisco,5078.5874,6178728,Software,1
,59,Inc5000 Company List,Inc5000 Company List,59,http://www.inc.com/inc5000list/json/inc5000_2014.json,25846,59,59,EcoSense Lighting,ecosense-lighting,California,CA,Los Angeles,Los Angeles,5059.1489,15363997,Manufacturing,1
,60,Inc5000 Company List,Inc5000 Company List,60,http://www.inc.com/inc5000list/json/inc5000_2014.json,26043,60,61,PhotoBin,photobin,California,CA,San Diego,San Diego,5003.4376,6385268,Consumer Products & Services,1
,61,Inc5000 Company List,Inc5000 Company List,61,http://www.inc.com/inc5000list/json/inc5000_2014.json,25914,61,44,PMG Worldwide,pmg-worldwide,Texas,TX,Fort Worth,Dallas,5000.4026,5764577,Advertising & Marketing,1
,62,Inc5000 Company List,Inc5000 Company List,62,http://www.inc.com/inc5000list/json/inc5000_2014.json,21105,62,19,Victor Securities,victor-securities,New Jersey,NJ,Englewood,New York City,4897.024,6494832,Financial Services,3
,63,Inc5000 Company List,Inc5000 Company List,63,http://www.inc.com/inc5000list/json/inc5000_2014.json,24951,63,89,eLan Technologies,elan-technologies,Texas,TX,Irving,Dallas,4863.7089,9149555,IT Services,1
,64,Inc5000 Company List,Inc5000 Company List,64,http://www.inc.com/inc5000list/json/inc5000_2014.json,25166,64,41,Centennial Lending Group,centennial-lending-group,Pennsylvania,PA,Maple Glen,Philadelphia,4845.0294,166889598,Financial Services,1
,65,Inc5000 Company List,Inc5000 Company List,65,http://www.inc.com/inc5000list/json/inc5000_2014.json,26157,65,143,Tough Mudder,tough-mudder,New York,NY,Brooklyn,New York City,4737.5104,107900476,Health,1
,66,Inc5000 Company List,Inc5000 Company List,66,http://www.inc.com/inc5000list/json/inc5000_2014.json,21440,66,40,Netcom3 Global,netcom3-global,California,CA,Laguna Niguel,Los Angeles,4724.7797,30058088,Software,3
,67,Inc5000 Company List,Inc5000 Company List,67,http://www.inc.com/inc5000list/json/inc5000_2014.json,26204,67,3,Gideon Services,gideon-services,Alabama,AL,Huntsville,Huntsville AL,4723.0413,23252268,Government Services,1
,68,Inc5000 Company List,Inc5000 Company List,68,http://www.inc.com/inc5000list/json/inc5000_2014.json,22983,68,34,Viderity,viderity,District of Columbia,DC,Washington,Washington DC,4722.8947,18327000,Government Services,2
,69,Inc5000 Company List,Inc5000 Company List,69,http://www.inc.com/inc5000list/json/inc5000_2014.json,25774,69,37,Affectiva,affectiva,Massachusetts,MA,Waltham,Boston,4676.4588,5017670,Software,1
,70,Inc5000 Company List,Inc5000 Company List,70,http://www.inc.com/inc5000list/json/inc5000_2014.json,24877,70,40,AdHarmonics,adharmonics,Massachusetts,MA,Cambridge,Boston,4669.4024,45929345,Advertising & Marketing,1
,71,Inc5000 Company List,Inc5000 Company List,71,http://www.inc.com/inc5000list/json/inc5000_2014.json,23088,71,28,Acordis International,acordis-international,Florida,FL,Miramar,Miami,4638.7226,6000834,IT Services,2
,72,Inc5000 Company List,Inc5000 Company List,72,http://www.inc.com/inc5000list/json/inc5000_2014.json,26510,72,40,KRAVE Pure Foods,krave-pure-foods,California,CA,Sonoma,Napa CA,4632.0582,16940863,Food & Beverage,1
,73,Inc5000 Company List,Inc5000 Company List,73,http://www.inc.com/inc5000list/json/inc5000_2014.json,25018,73,175,Main Street Hub,main-street-hub,Texas,TX,Austin,Austin,4625.3168,9157664,Advertising & Marketing,1
,74,Inc5000 Company List,Inc5000 Company List,74,http://www.inc.com/inc5000list/json/inc5000_2014.json,26093,74,4,First Point Power,first-point-power,Rhode Island,RI,East Greenwich,Providence-New Bedford-Fall River RI-MA,4355.2259,23499000,Energy,1
,75,Inc5000 Company List,Inc5000 Company List,75,http://www.inc.com/inc5000list/json/inc5000_2014.json,26181,75,64,Ethology,ethology,Arizona,AZ,Scottsdale,Phoenix,4219.4187,8815804,Advertising & Marketing,1
,76,Inc5000 Company List,Inc5000 Company List,76,http://www.inc.com/inc5000list/json/inc5000_2014.json,22998,76,126,Regal Wings,regal-wings,New York,NY,Brooklyn,New York City,4146.4844,54355000,Travel & Hospitality,2
,77,Inc5000 Company List,Inc5000 Company List,77,http://www.inc.com/inc5000list/json/inc5000_2014.json,25843,77,23,Solect Energy Development,solect-energy-development,Massachusetts,MA,Hopkinton,Boston,4101.3374,12477972,Energy,1
,78,Inc5000 Company List,Inc5000 Company List,78,http://www.inc.com/inc5000list/json/inc5000_2014.json,25910,78,16,Old Pro Roofing,old-pro-roofing,Texas,TX,Burleson,Dallas,4076.4206,4897229,Construction,1
,79,Inc5000 Company List,Inc5000 Company List,79,http://www.inc.com/inc5000list/json/inc5000_2014.json,25062,79,53,Clean Energy Experts,clean-energy-experts,California,CA,Manhattan Beach,Los Angeles,4063.5937,6058237,Advertising & Marketing,1
,80,Inc5000 Company List,Inc5000 Company List,80,http://www.inc.com/inc5000list/json/inc5000_2014.json,25618,80,32,LogoUp.com,logoupcom,Florida,FL,Pompano Beach,Miami,4062.0098,8003961,Retail,1
,81,Inc5000 Company List,Inc5000 Company List,81,http://www.inc.com/inc5000list/json/inc5000_2014.json,25868,81,28,ANALYTICA,analytica,District of Columbia,DC,Washington,Washington DC,4056.1632,15010399,IT Services,1
,82,Inc5000 Company List,Inc5000 Company List,82,http://www.inc.com/inc5000list/json/inc5000_2014.json,22919,82,131,Phunware,phunware,Texas,TX,Austin,Austin,4040.0382,22119065,Software,2
,83,Inc5000 Company List,Inc5000 Company List,83,http://www.inc.com/inc5000list/json/inc5000_2014.json,25510,83,39,iCracked,icracked,California,CA,Redwood City,San Francisco,4033.2486,7315850,Consumer Products & Services,1
,84,Inc5000 Company List,Inc5000 Company List,84,http://www.inc.com/inc5000list/json/inc5000_2014.json,25545,84,13,BuyBackWorld,buybackworld,New York,NY,Long Island City,New York City,4011.2131,4139786,Consumer Products & Services,1
,85,Inc5000 Company List,Inc5000 Company List,85,http://www.inc.com/inc5000list/json/inc5000_2014.json,25518,85,49,Tahzoo,tahzoo,District of Columbia,DC,Washington,Washington DC,3946.3888,5693350,Advertising & Marketing,1
,86,Inc5000 Company List,Inc5000 Company List,86,http://www.inc.com/inc5000list/json/inc5000_2014.json,24946,86,1250,Connexion Point,connexion-point,Utah,UT,Salt Lake City,Salt Lake City,3943.8155,18286053,Health,1
,87,Inc5000 Company List,Inc5000 Company List,87,http://www.inc.com/inc5000list/json/inc5000_2014.json,25892,87,2,Meister Cook,meister-cook,Indiana,IN,Fort Wayne,Fort Wayne IN,3943.004,7707138,Business Products & Services,1
,88,Inc5000 Company List,Inc5000 Company List,88,http://www.inc.com/inc5000list/json/inc5000_2014.json,22933,88,150,TUNE,tune,Washington,WA,Seattle,Seattle,3939.4786,18904275,Advertising & Marketing,2
,89,Inc5000 Company List,Inc5000 Company List,89,http://www.inc.com/inc5000list/json/inc5000_2014.json,25880,89,28,Constructure Management,constructure-management,Pennsylvania,PA,Malvern,Philadelphia,3929.4614,33167746,Construction,1
,90,Inc5000 Company List,Inc5000 Company List,90,http://www.inc.com/inc5000list/json/inc5000_2014.json,25212,90,14,Pendo Management Group,pendo-management-group,Missouri,MO,Lee's Summit,Kansas City MO-KS,3877.8706,8471671,Real Estate,1
,91,Inc5000 Company List,Inc5000 Company List,91,http://www.inc.com/inc5000list/json/inc5000_2014.json,25460,91,45,Gemini Consulting & Services,gemini-consulting-services,Missouri,MO,St. Louis,St. Louis MO-IL,3869.7686,6469651,IT Services,1
,92,Inc5000 Company List,Inc5000 Company List,92,http://www.inc.com/inc5000list/json/inc5000_2014.json,22952,92,764,Next Step Living,next-step-living,Massachusetts,MA,Boston,Boston,3859.6587,58009000,Energy,2
,93,Inc5000 Company List,Inc5000 Company List,93,http://www.inc.com/inc5000list/json/inc5000_2014.json,25047,93,26,FastPay,fastpay,California,CA,Beverly Hills,Los Angeles,3824.8721,5061986,Financial Services,1
,94,Inc5000 Company List,Inc5000 Company List,94,http://www.inc.com/inc5000list/json/inc5000_2014.json,26166,94,6,Early Upgrade,early-upgrade,Florida,FL,Jacksonville,Jacksonville FL,3745.689,18068816,Consumer Products & Services,1
,95,Inc5000 Company List,Inc5000 Company List,95,http://www.inc.com/inc5000list/json/inc5000_2014.json,25745,95,90,Yochana IT Solutions,yochana-it-solutions,Michigan,MI,Farmington Hills,Detroit,3694.0309,5637285,IT Services,1
,96,Inc5000 Company List,Inc5000 Company List,96,http://www.inc.com/inc5000list/json/inc5000_2014.json,25698,96,192,American Care Partners,american-care-partners,Virginia,VA,Falls Church,Washington DC,3656.7915,6580396,Health,1
,97,Inc5000 Company List,Inc5000 Company List,97,http://www.inc.com/inc5000list/json/inc5000_2014.json,25126,97,10,Prepay Nation,prepay-nation,Pennsylvania,PA,Berwyn,Philadelphia,3637.1336,110914763,Financial Services,1
,98,Inc5000 Company List,Inc5000 Company List,98,http://www.inc.com/inc5000list/json/inc5000_2014.json,25287,98,115,PEG Bandwidth,peg-bandwidth,Texas,TX,The Colony,Dallas,3612.7746,32895443,Telecommunications,1
,99,Inc5000 Company List,Inc5000 Company List,99,http://www.inc.com/inc5000list/json/inc5000_2014.json,26456,99,108,Global Energy Efficiency,global-energy-efficiency,New York,NY,Bronx,New York City,3588.5841,12860765,Energy,1
,100,Inc5000 Company List,Inc5000 Company List,100,http://www.inc.com/inc5000list/json/inc5000_2014.json,26317,100,72,LaunchPoint,launchpoint,Illinois,IL,Itasca,Chicago,3544.2164,12899943,Health,1
,101,Inc5000 Company List,Inc5000 Company List,101,http://www.inc.com/inc5000list/json/inc5000_2014.json,24794,101,7,Equipatron,equipatron,Wisconsin,WI,Mequon,Milwaukee-Waukesha-West Allis WI,3543.1,5284863,Retail,1
,102,Inc5000 Company List,Inc5000 Company List,102,http://www.inc.com/inc5000list/json/inc5000_2014.json,25791,102,12,GovSmart,govsmart,Virginia,VA,Charlottesville,Charlottesville VA,3532.3775,25433653,Computer Hardware,1
,103,Inc5000 Company List,Inc5000 Company List,103,http://www.inc.com/inc5000list/json/inc5000_2014.json,26531,103,90,The Clymb,the-clymb,Oregon,OR,Portland,Portland OR,3531.5493,64460000,Retail,1
,104,Inc5000 Company List,Inc5000 Company List,104,http://www.inc.com/inc5000list/json/inc5000_2014.json,26329,104,380,Alliance Health,alliance-health,Utah,UT,Salt Lake City,Salt Lake City,3490.2076,85596581,Health,1
,105,Inc5000 Company List,Inc5000 Company List,105,http://www.inc.com/inc5000list/json/inc5000_2014.json,26379,105,100,Inkling,inkling,California,CA,San Francisco,San Francisco,3443.0435,8149000,Software,1
,106,Inc5000 Company List,Inc5000 Company List,106,http://www.inc.com/inc5000list/json/inc5000_2014.json,24947,106,80,Patriot Group International,patriot-group-international,Virginia,VA,Warrenton,Culpeper VA,3401.9117,24073472,Government Services,1
,107,Inc5000 Company List,Inc5000 Company List,107,http://www.inc.com/inc5000list/json/inc5000_2014.json,25461,107,65,Insureon,insureon,Illinois,IL,Chicago,Chicago,3357.8136,11844049,Insurance,1
,108,Inc5000 Company List,Inc5000 Company List,108,http://www.inc.com/inc5000list/json/inc5000_2014.json,23215,108,146,RevLocal,revlocal,Ohio,OH,Granville,Columbus OH,3341.7125,7268587,Advertising & Marketing,2
,109,Inc5000 Company List,Inc5000 Company List,109,http://www.inc.com/inc5000list/json/inc5000_2014.json,26392,109,37,Apex Fuels,apex-fuels,California,CA,Murrieta,Riverside-San Bernardino-Ontario CA,3323.5318,134567633,Energy,1
,110,Inc5000 Company List,Inc5000 Company List,110,http://www.inc.com/inc5000list/json/inc5000_2014.json,25606,110,200,Multicoreware,multicoreware,California,CA,Sunnyvale,San Jose,3322.105,7686082,Software,1
,111,Inc5000 Company List,Inc5000 Company List,111,http://www.inc.com/inc5000list/json/inc5000_2014.json,26420,111,87,MobileHelp,mobilehelp,Florida,FL,Boca Raton,Miami,3304.8214,18661656,Health,1
,112,Inc5000 Company List,Inc5000 Company List,112,http://www.inc.com/inc5000list/json/inc5000_2014.json,26464,112,12,Ataraxis,ataraxis,Idaho,ID,Boise,Boise City-Nampa ID,3277.519,40765844,Human Resources,1
,113,Inc5000 Company List,Inc5000 Company List,113,http://www.inc.com/inc5000list/json/inc5000_2014.json,25241,113,15,Fortress Gold Group,fortress-gold-group,California,CA,Sherman Oaks,Los Angeles,3257.9707,9809304,Financial Services,1
,114,Inc5000 Company List,Inc5000 Company List,114,http://www.inc.com/inc5000list/json/inc5000_2014.json,23197,114,73,AdColony,adcolony,California,CA,Los Angeles,Los Angeles,3236.4728,52783000,Advertising & Marketing,2
,115,Inc5000 Company List,Inc5000 Company List,115,http://www.inc.com/inc5000list/json/inc5000_2014.json,26395,115,87,Integral Ad Science,integral-ad-science,New York,NY,New York,New York City,3231.6852,23442470,Advertising & Marketing,1
,116,Inc5000 Company List,Inc5000 Company List,116,http://www.inc.com/inc5000list/json/inc5000_2014.json,23076,116,18,Technomax,technomax,New Jersey,NJ,West Windsor,Trenton-Ewing NJ,3225.0636,4002379,IT Services,2
,117,Inc5000 Company List,Inc5000 Company List,117,http://www.inc.com/inc5000list/json/inc5000_2014.json,25855,117,458,hCentive,hcentive,Virginia,VA,Reston,Washington DC,3214.4606,26493445,Health,1
,118,Inc5000 Company List,Inc5000 Company List,118,http://www.inc.com/inc5000list/json/inc5000_2014.json,22903,118,14,Intelligent Audit,intelligent-audit,New Jersey,NJ,Rochelle Park,,3122.0588,318842114,Logistics & Transportation,2
,119,Inc5000 Company List,Inc5000 Company List,119,http://www.inc.com/inc5000list/json/inc5000_2014.json,26332,119,60,SimpliSafe Home Security,simplisafe-home-security,Massachusetts,MA,Cambridge,Boston,3075.8406,38454825,Security,1
,120,Inc5000 Company List,Inc5000 Company List,120,http://www.inc.com/inc5000list/json/inc5000_2014.json,25436,120,43,Boxman Studios,boxman-studios,North Carolina,NC,Charlotte,Charlotte,3074.0826,4322910,Business Products & Services,1
,121,Inc5000 Company List,Inc5000 Company List,121,http://www.inc.com/inc5000list/json/inc5000_2014.json,26277,121,30,SeatGeek,seatgeek,New York,NY,New York,New York City,3039.1304,12274000,Consumer Products & Services,1
,122,Inc5000 Company List,Inc5000 Company List,122,http://www.inc.com/inc5000list/json/inc5000_2014.json,24847,122,23,Smashwords,smashwords,California,CA,Los Gatos,San Jose,3018.5723,22037828,Media,1
,123,Inc5000 Company List,Inc5000 Company List,123,http://www.inc.com/inc5000list/json/inc5000_2014.json,21756,123,18,Securityhunter,securityhunter,Maryland,MD,Baltimore,Baltimore,2998.3413,35931650,Government Services,3
