Player,DOB,Cumulative Weeks,Date,Sex,Weeks,Age (days),Age (years),(Age)/365.25
Boris Becker,11/22/1967,3,1/28/1991,Male,3,8468,23,23.184120465
Stefan Edberg,1/19/1966,44,2/18/1991,Male,20,9161,25,25.081451061
Boris Becker,11/22/1967,12,7/8/1991,Male,9,8629,23,23.624914442
Stefan Edberg,1/19/1966,66,9/9/1991,Male,22,9364,25,25.637234771
Jim Courier,8/17/1970,6,2/10/1992,Male,6,7847,21,21.483915127
Stefan Edberg,1/19/1966,69,3/23/1992,Male,3,9560,26,26.173853525
Jim Courier,8/17/1970,28,4/13/1992,Male,22,7910,21,21.656399726
Stefan Edberg,1/19/1966,72,9/14/1992,Male,3,9735,26,26.652977413
Jim Courier,8/17/1970,55,10/5/1992,Male,27,8085,22,22.135523614
Pete Sampras,8/12/1971,19,4/12/1993,Male,19,7914,21,21.667351129
Jim Courier,8/17/1970,58,8/23/1993,Male,3,8407,23,23.017111567
Pete Sampras,8/12/1971,101,9/13/1993,Male,82,8068,22,22.088980151
Andre Agassi,4/29/1970,30,4/10/1995,Male,30,9112,24,24.947296372
Pete Sampras,8/12/1971,113,11/6/1995,Male,12,8852,24,24.235455168
Andre Agassi,4/29/1970,32,1/29/1996,Male,2,9406,25,25.752224504
Thomas Muster,10/2/1967,1,2/12/1996,Male,1,10360,28,28.364134155
Pete Sampras,8/12/1971,116,2/19/1996,Male,3,8957,24,24.5229295
Thomas Muster,10/2/1967,6,3/11/1996,Male,5,10388,28,28.440793977
Pete Sampras,8/12/1971,218,4/15/1996,Male,102,9013,24,24.676249144
Marcelo Ríos,12/26/1975,4,3/30/1998,Male,4,8130,22,22.258726899
Pete Sampras,8/12/1971,233,4/27/1998,Male,15,9755,26,26.707734428
Marcelo Ríos,12/26/1975,6,8/10/1998,Male,2,8263,22,22.622861054
Pete Sampras,8/12/1971,262,8/24/1998,Male,29,9874,27,27.033538672
Carlos Moya,8/27/1976,2,3/15/1999,Male,2,8235,22,22.546201232
Pete Sampras,8/12/1971,267,3/29/1999,Male,5,10091,27,27.627652293
Yevgeny Kafelnikov,2/18/1974,6,5/3/1999,Male,6,9205,25,25.201916496
Pete Sampras,8/12/1971,270,6/14/1999,Male,3,10168,27,27.838466804
Andre Agassi,4/29/1970,35,7/5/1999,Male,3,10659,29,29.18275154
Patrick Rafter,12/28/1972,1,7/26/1999,Male,1,9706,26,26.57357974
Pete Sampras,8/12/1971,276,8/2/1999,Male,6,10217,27,27.972621492
Andre Agassi,4/29/1970,87,9/13/1999,Male,52,10729,29,29.374401095
Pete Sampras,8/12/1971,286,9/11/2000,Male,10,10623,29,29.084188912
Marat Safin,1/27/1980,2,11/20/2000,Male,2,7603,20,20.815879535
Gustavo Kuerten,9/10/1976,8,12/4/2000,Male,8,8851,24,24.232717317
Marat Safin,1/27/1980,6,1/29/2001,Male,4,7673,21,21.00752909
Gustavo Kuerten,9/10/1976,13,2/26/2001,Male,5,8935,24,24.462696783
Marat Safin,1/27/1980,9,4/2/2001,Male,3,7736,21,21.180013689
Gustavo Kuerten,9/10/1976,43,4/23/2001,Male,30,8991,24,24.616016427
Lleyton Hewitt,2/24/1981,75,11/29/2001,Male,75,7583,20,20.761122519
Andre Agassi,4/29/1970,89,4/28/2003,Male,2,12052,32,32.996577687
Lleyton Hewitt,2/24/1981,80,5/12/2003,Male,5,8112,22,22.209445585
Andre Agassi,4/29/1970,101,6/16/2003,Male,12,12101,33,33.130732375
Juan Carlos Ferrero,2/12/1980,8,9/8/2003,Male,8,8609,23,23.570157426
Andy Roddickc,8/30/1982,13,11/3/2003,Male,13,7735,21,21.177275838
Roger Federer,8/8/1981,237,2/2/2004,Male,237,8213,22,22.485968515
Rafael Nadal,6/3/1986,46,8/18/2008,Male,46,8112,22,22.209445585
Roger Federer,8/8/1981,285,7/6/2009,Male,48,10194,27,27.909650924
Rafael Nadal,6/3/1986,102,6/7/2010,Male,56,8770,24,24.010951403
Novak Djokovic,5/22/1987,53,7/4/2011,Male,53,8809,24,24.117727584
Roger Federer,8/8/1981,302,7/9/2012,Male,17,11293,30,30.918548939
Novak Djokovic,5/22/1987,101,11/5/2012,Male,48,9299,25,25.45927447
Rafael Nadal,6/3/1986,141,10/7/2013,Male,39,9988,27,27.345653662
Novak Djokovic,5/22/1987,223,7/7/2014,Male,122,9908,27,27.126625599
Andy Murray,5/15/1987,41,11/7/2016,Male,41,10769,29,29.483915127
Rafael Nadal,6/3/1986,167,8/21/2017,Male,26,11402,31,31.216974675
Roger Federer,8/8/1981,308,2/19/2018,Male,6,13344,36,36.533880903
Chris Evert,1/21/1954,25,11/3/1975,Female,25,7956,21,21.782340862
Evonne Goolagong Cawley,7/31/1951,2,4/26/1976,Female,2,9036,24,24.739219713
Chris Evert,1/21/1954,138,5/10/1976,Female,113,8145,22,22.299794661
Martina Navratilova,10/18/1956,26,7/10/1978,Female,26,7935,21,21.724845996
Chris Evert,1/21/1954,140,1/14/1979,Female,2,9124,24,24.980150582
Martina Navratilova,10/18/1956,30,1/28/1979,Female,4,8137,22,22.277891855
Chris Evert,1/21/1954,147,2/25/1979,Female,7,9166,25,25.095140315
Martina Navratilova,10/18/1956,40,4/16/1979,Female,10,8215,22,22.491444216
Chris Evert,1/21/1954,158,6/25/1979,Female,11,9286,25,25.423682409
Martina Navratilova,10/18/1956,71,9/10/1979,Female,31,8362,22,22.893908282
Tracy Austin,12/12/1962,2,4/7/1980,Female,2,6326,17,17.319644079
Martina Navratilova,10/18/1956,82,4/21/1980,Female,11,8586,23,23.507186858
Tracy Austin,12/12/1962,21,7/7/1980,Female,19,6417,17,17.568788501
Chris Evert,1/21/1954,234,11/18/1980,Female,76,9798,26,26.825462012
Martina Navratilova,10/18/1956,84,5/3/1982,Female,2,9328,25,25.538672142
Chris Evert,1/21/1954,238,5/17/1982,Female,4,10343,28,28.317590691
Martina Navratilova,10/18/1956,240,6/14/1982,Female,156,9370,25,25.653661875
Chris Evert,1/21/1954,256,6/10/1982,Female,18,10367,28,28.38329911
Martina Navratilova,10/18/1956,242,10/14/1985,Female,2,10588,28,28.988364134
Chris Evert,1/21/1954,260,10/28/1985,Female,4,11603,31,31.767282683
Martina Navratilova,10/18/1956,332,11/25/1985,Female,90,10630,29,29.103353867
Steffi Graf,6/14/1969,186,8/17/1987,Female,186,6638,18,18.173853525
Monica Seles,12/2/1973,21,3/11/1991,Female,21,6308,17,17.270362765
Steffi Graf,6/14/1969,187,8/5/1991,Female,1,8087,22,22.140999316
Monica Seles,12/2/1973,22,8/12/1991,Female,1,6462,17,17.691991786
Steffi Graf,6/14/1969,190,8/19/1991,Female,3,8101,22,22.179329227
Monica Seles,12/2/1973,113,9/9/1991,Female,91,6490,17,17.768651608
Steffi Graf,6/14/1969,277,6/7/1993,Female,87,8759,23,23.980835044
Arantxa Sánchez Vicario,12/18/1971,2,2/6/1995,Female,2,8451,23,23.137577002
Steffi Graf,6/14/1969,278,2/20/1995,Female,1,9382,25,25.686516085
Arantxa Sánchez Vicario,12/18/1971,8,2/27/1995,Female,6,8472,23,23.195071869
Steffi Graf,6/14/1969,283,4/10/1995,Female,5,9431,25,25.820670773
Arantxa Sánchez Vicario,12/18/1971,12,5/15/1995,Female,4,8549,23,23.405886379
Steffi Graf,6/14/1969,292,6/12/1995,Female,9,9494,25,25.993155373
Steffi Graf,6/14/1969,356,8/15/1995,Female,64,9558,26,26.168377823
Monica Seles,12/2/1973,177,8/15/1995,Female,64,7926,21,21.700205339
Steffi Graf,6/14/1969,358,11/4/1996,Female,2,10005,27,27.392197125
Steffi Graf,6/14/1969,359,11/18/1996,Female,1,10019,27,27.430527036
Monica Seles,12/2/1973,178,11/18/1996,Female,1,8387,22,22.962354552
Steffi Graf,6/14/1969,377,11/25/1996,Female,18,10026,27,27.449691992
Martina Hingis,9/30/1980,80,3/31/1997,Female,80,6026,16,16.498288843
Lindsay Davenport,6/8/1976,17,10/12/1998,Female,17,8161,22,22.343600274
Martina Hingis,9/30/1980,101,2/8/1999,Female,21,6705,18,18.357289528
Lindsay Davenport,6/8/1976,22,7/5/1999,Female,5,8427,23,23.071868583
Martina Hingis,9/30/1980,135,8/9/1999,Female,34,6887,18,18.855578371
Lindsay Davenport,6/8/1976,27,4/3/2000,Female,5,8700,23,23.819301848
Martina Hingis,9/30/1980,136,5/8/2000,Female,1,7160,19,19.603011636
Lindsay Davenport,6/8/1976,28,5/15/2000,Female,1,8742,23,23.934291581
Martina Hingis,9/30/1980,209,5/22/2000,Female,73,7174,19,19.641341547
Jennifer Capriati,3/29/1976,3,10/15/2001,Female,3,9331,25,25.546885695
Lindsay Davenport,6/8/1976,38,11/5/2001,Female,10,9281,25,25.409993155
Jennifer Capriati,3/29/1976,9,1/14/2002,Female,6,9422,25,25.796030116
Venus Williams,6/17/1980,3,2/25/2002,Female,3,7923,21,21.691991786
Jennifer Capriati,3/29/1976,14,3/18/2002,Female,5,9485,25,25.968514716
Venus Williams,6/17/1980,7,4/22/2002,Female,4,7979,21,21.845311431
Jennifer Capriati,3/29/1976,17,5/20/2002,Female,3,9548,26,26.140999316
Venus Williams,6/17/1980,11,6/10/2002,Female,4,8028,21,21.979466119
Serena Williams,9/26/1981,57,7/8/2002,Female,57,7590,20,20.780287474
Kim Clijsters,6/8/1983,10,8/11/2003,Female,10,7369,20,20.17522245
Justine Henin,6/1/1982,1,10/20/2003,Female,1,7811,21,21.385352498
Kim Clijsters,6/8/1983,12,10/27/2003,Female,2,7446,20,20.386036961
Justine Henin,6/1/1982,45,11/10/2003,Female,44,7832,21,21.442847365
Amélie Mauresmo,7/5/1979,5,9/13/2004,Female,5,9202,25,25.193702943
Lindsay Davenport,6/8/1976,82,10/18/2004,Female,44,10359,28,28.361396304
Maria Sharapova,4/19/1987,1,8/22/2005,Female,1,6700,18,18.343600274
Lindsay Davenport,6/8/1976,84,8/29/2005,Female,2,10674,29,29.223819302
Maria Sharapova,4/19/1987,7,9/12/2005,Female,6,6721,18,18.40109514
Lindsay Davenport,6/8/1976,98,10/24/2005,Female,14,10730,29,29.377138946
Kim Clijsters,6/8/1983,19,1/30/2006,Female,7,8272,22,22.647501711
Amélie Mauresmo,7/5/1979,39,3/20/2006,Female,34,9755,26,26.707734428
Justine Henin,6/1/1982,56,11/13/2006,Female,11,8931,24,24.45174538
Maria Sharapova,4/19/1987,14,1/29/2007,Female,7,7225,19,19.780971937
Justine Henin,6/1/1982,117,3/19/2007,Female,61,9057,24,24.796714579
Maria Sharapova,4/19/1987,17,5/19/2008,Female,3,7701,21,21.084188912
Ana Ivanovic,11/6/1987,9,6/9/2008,Female,9,7521,20,20.59137577
Jelena Janković,2/28/1985,1,8/11/2008,Female,1,8565,23,23.449691992
Ana Ivanovic,11/6/1987,12,1/18/2008,Female,3,7378,20,20.199863107
Serena Williams,9/26/1981,61,9/8/2008,Female,4,9844,26,26.951403149
Jelena Janković,2/28/1985,18,10/6/2008,Female,17,8621,23,23.603011636
Serena Williams,9/26/1981,72,2/2/2009,Female,11,9991,27,27.353867214
Dinara Safina,4/27/1986,25,4/20/2009,Female,25,8394,22,22.981519507
Serena Williams,9/26/1981,74,10/12/2009,Female,2,10243,28,28.043805613
Dinara Safina,4/27/1986,26,10/26/2009,Female,1,8583,23,23.498973306
Serena Williams,9/26/1981,123,11/2/2009,Female,49,10264,28,28.101300479
Caroline Wozniacki,7/11/1990,18,10/11/2010,Female,18,7397,20,20.251882272
Kim Clijsters,6/8/1983,20,2/14/2011,Female,1,10113,27,27.68788501
Caroline Wozniacki,7/11/1990,67,2/21/2011,Female,49,7530,20,20.616016427
Victoria Azarenka,7/31/1989,19,1/30/2012,Female,19,8218,22,22.499657769
Maria Sharapova,4/19/1987,21,6/11/2012,Female,4,9185,25,25.14715948
Victoria Azarenka,7/31/1989,51,7/9/2012,Female,32,8379,22,22.940451745
Serena Williams,9/26/1981,309,2/18/2013,Female,186,11468,31,31.397672827
Angelique Kerber,1/18/1988,20,9/12/2016,Female,20,10465,28,28.651608487
Serena Williams,9/26/1981,316,1/30/2017,Female,7,12910,35,35.345653662
Angelique Kerber,1/18/1988,25,3/20/2017,Female,5,10654,29,29.169062286
Serena Williams,9/26/1981,319,4/24/2017,Female,3,12994,35,35.575633128
Angelique Kerber,1/18/1988,34,5/15/2017,Female,9,10710,29,29.32238193
Karolína Plíšková,3/21/1992,8,7/17/2017,Female,8,9249,25,25.32238193
Garbiñe Muguruza,10/8/1993,4,9/11/2017,Female,4,8739,23,23.926078029
Simona Halep,9/27/1991,16,10/9/2017,Female,16,9509,26,26.034223135
Caroline Wozniacki,7/11/1990,71,1/29/2018,Female,4,10064,27,27.553730322
Simona Halep,9/27/1991,21,2/26/2018,Female,5,9649,26,26.417522245
